path,probe,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],WindCondition,Mooring,N_periods,N_tag,A_FFT_mm
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,9373/170,1.6,0.3,full,below_90_loose,10,full_10p,23.48020841175751
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,0.3,full,below_90_loose,20,20p,15.222190609108072
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,0.3,full,below_90_loose,40,40p,15.222190609108072
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,0.3,full,below_90_loose,60,60p,15.222190609108072
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,0.3,full,below_90_loose,100,100p,15.222190609108072
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,0.3,full,below_90_loose,10,full_10p,15.222190609108072
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,0.1,no,below_90_loose,20,20p,7.738310702658425
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,0.1,no,below_90_loose,40,40p,7.738310702658425
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,0.1,no,below_90_loose,60,60p,7.738310702658425
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,0.1,no,below_90_loose,100,100p,7.738310702658425
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,0.1,no,below_90_loose,10,full_10p,7.738310702658425
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.3,0.1,no,below_90_loose,20,20p,4.539749292343194
